Date,Open,High,Low,Close,Adj Close,Volume
16/8/2020,0.299767,0.304052,0.294289,0.303492,0.303492,2078824448
17/8/2020,0.303641,0.324403,0.29866,0.314767,0.314767,3001054633
18/8/2020,0.314218,0.320406,0.301843,0.303307,0.303307,2126503478
19/8/2020,0.303513,0.30554,0.282474,0.290246,0.290246,2163768928
20/8/2020,0.290301,0.294099,0.286078,0.292573,0.292573,1749934412
21/8/2020,0.292468,0.295518,0.280258,0.280682,0.280682,1833818566
22/8/2020,0.280635,0.286546,0.275896,0.286546,0.286546,1417207522
23/8/2020,0.286358,0.287276,0.278829,0.285386,0.285386,1183627267
24/8/2020,0.285278,0.291312,0.283117,0.289215,0.289215,1237229520
25/8/2020,0.289044,0.289571,0.273311,0.277927,0.277927,1403395912
26/8/2020,0.277693,0.280136,0.274876,0.277491,0.277491,1194610015
27/8/2020,0.27736,0.278688,0.257513,0.264511,0.264511,1471948899
28/8/2020,0.264658,0.273302,0.261309,0.272046,0.272046,1178427813
29/8/2020,0.272009,0.276839,0.269447,0.274497,0.274497,1053592719
30/8/2020,0.274568,0.283597,0.274357,0.283034,0.283034,1202203314
31/8/2020,0.283065,0.284512,0.278658,0.281766,0.281766,1209798563
1/9/2020,0.281612,0.298213,0.278456,0.295696,0.295696,1730740377
2/9/2020,0.295612,0.303214,0.269151,0.276461,0.276461,1985414445
3/9/2020,0.276636,0.276726,0.245419,0.24658,0.24658,1847290355
4/9/2020,0.246726,0.266139,0.244301,0.255883,0.255883,1924234480
5/9/2020,0.255808,0.259606,0.233811,0.237692,0.237692,2160621038
6/9/2020,0.237692,0.243732,0.231323,0.240731,0.240731,1752405005
7/9/2020,0.240812,0.243432,0.231285,0.242174,0.242174,1773175897
8/9/2020,0.242029,0.243872,0.232833,0.236753,0.236753,1618416970
9/9/2020,0.236723,0.243213,0.234273,0.239609,0.239609,1203137131
10/9/2020,0.239689,0.249185,0.23957,0.24353,0.24353,1353359148
11/9/2020,0.24353,0.244815,0.23752,0.243292,0.243292,1096662166
12/9/2020,0.243055,0.248752,0.24182,0.247814,0.247814,1043746083
13/9/2020,0.247814,0.253136,0.238857,0.241801,0.241801,1163182194
14/9/2020,0.241804,0.249822,0.240322,0.246327,0.246327,1195994290
15/9/2020,0.246265,0.249245,0.243392,0.24385,0.24385,1245531094
16/9/2020,0.24401,0.250974,0.236727,0.247847,0.247847,1421286455
17/9/2020,0.247743,0.25819,0.247218,0.252194,0.252194,1735400721
18/9/2020,0.252284,0.255716,0.247091,0.250707,0.250707,1282349756
19/9/2020,0.25053,0.254101,0.248359,0.251716,0.251716,1043485055
20/9/2020,0.251663,0.251663,0.243716,0.246743,0.246743,1091283585
21/9/2020,0.246818,0.24811,0.230479,0.232138,0.232138,1718957623
22/9/2020,0.231848,0.234743,0.230237,0.233417,0.233417,1019583831
23/9/2020,0.233571,0.236175,0.221148,0.221657,0.221657,1011343441
24/9/2020,0.22166,0.233776,0.220625,0.233018,0.233018,1316129692
25/9/2020,0.233079,0.244589,0.230421,0.241805,0.241805,1389150295
26/9/2020,0.241888,0.245595,0.23934,0.242369,0.242369,1176448176
27/9/2020,0.242391,0.245023,0.238844,0.243252,0.243252,990209623
28/9/2020,0.243252,0.24827,0.241819,0.242051,0.242051,1312887582
29/9/2020,0.241815,0.246431,0.239322,0.243139,0.243139,1244211927
30/9/2020,0.243157,0.24318,0.239202,0.242311,0.242311,1161931498
1/10/2020,0.242368,0.245157,0.235728,0.238361,0.238361,1290732679
2/10/2020,0.238302,0.239372,0.230124,0.234202,0.234202,1449826826
3/10/2020,0.234333,0.235235,0.233366,0.233505,0.233505,853442733
4/10/2020,0.233518,0.250667,0.232574,0.248502,0.248502,1481572450
5/10/2020,0.248458,0.253904,0.247209,0.250896,0.250896,1739237137
6/10/2020,0.250813,0.259083,0.242763,0.24586,0.24586,2633330450
7/10/2020,0.24586,0.251393,0.242644,0.249041,0.249041,1486567165
8/10/2020,0.249154,0.252943,0.243324,0.251615,0.251615,1584042829
9/10/2020,0.248458,0.235235,0.247209,0.249041,0.24594,1584042829
10/10/2020,0.253227,0.259773,0.253144,0.25429,0.25429,1957706164
11/10/2020,0.254201,0.258189,0.253823,0.255719,0.255719,1851962086
12/10/2020,0.256727,0.250278,0.239218,0.251615,0.24594,1652788747
13/10/2020,0.243485,0.250278,0.253823,0.249041,0.251615,1435700560
14/10/2020,0.256727,0.258393,0.246683,0.249448,0.249448,1954936434
15/10/2020,0.249406,0.250278,0.244011,0.24594,0.24594,1652788747
